,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cambodia (Kampuchea),Cameroon,Canada,Central African Republic,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,DR Congo (Zaire),Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Ivory Coast,Jamaica,Jordan,Kenya,Kingdom of eSwatini (Swaziland),Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,"Macedonia, FYR",Madagascar (Malagasy),Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar (Burma),Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Qatar,Romania,Russia (Soviet Union),Rwanda,Saudi Arabia,Senegal,Serbia (Yugoslavia),Sierra Leone,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen (North Yemen),Zambia,Zimbabwe (Rhodesia)
1989-11-30,1.7307692307692308,0,0.0,95.66666666666666,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,3.5,0.0,0,0.0,0.0,0.0,63.0,31,0.0,0.0,0.0,0.0,0,0.0,2538.174868609651,0.0,34.060439560439555,0,0,0.0,0,0,4.105911330049261,0,0.0,0,0.0,0,69.06593406593407,0.0,0.0,4.120879120879121,3.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,174.0,32.33333333333333,17.174525474525474,0.0,0,0,51.23626373626374,0.0,0.0,0.0,0.0,3.5240963855421685,0,68.0,73.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,0,0.0,2,174.5,856.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,115.0,7.0344827586206895,0.0,0,5.0,0,0.0,0.0,0.0,0,0
1989-12-31,9.788461538461538,0,0.0,404.33333333333337,0,0.0,0,0,0.0,0,2.0,0,0,0,0,0.0,0,0,0.0,0.0,105.0,0.0,0,0.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0.0,0,0.0,326.54156712852364,0.0,3602.1291208791204,0,0,0.0,0,0,5.107142857142858,0,0.0,0,0.0,0,79.36813186813188,0.0,0.0,4.258241758241758,4.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,27.4,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,41.65416666666667,315.0470096570096,0.0,0,0,36.527472527472526,0.0,0.0,0.0,1123.6666666666667,0.0,0,104.0,142.875,0,281.66666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0,40.0,0,0.0,0,71.5,234.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,47.0,7.0,0.0,0,2.0,0,0.0,0.0,0.0,0,0
1990-01-31,2.129120879120879,0,0.0,842.6428571428571,0,0.0,0,0,0.0,0,17.0,0,0,0,0,0.0,0,0,0.0,0.0,76.66666666666667,0.0,0,0.0,0.0,0.0,68.5,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10705.599999999999,0,0,0.0,0,0,4.8849816849816845,0,0.0,0,0.0,0,226.2705446727186,0.3,0.0,60.0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,306.93939393939394,2.0,0,21.060164835164837,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,139.45820668693008,180.0805860805861,0.0,0,0,2.0,0.0,0.0,0.0,0.0,16.5,0,41.5,41.833333333333336,0,0.0,163.742742987606,0.0,0.0,0.4258241758241758,0.0,0.0,0,153.2554945054945,0,0.0,1,73.0,1035.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.0,0.0,0.0,0,3.0,0,0.0,0.0,0.0,0,0
1990-02-28,72.42307692307692,0,0.0,945.1666666666666,0,0.0,0,0,0.0,0,7.0,0,0,0,0,0.0,0,0,0.0,0.0,100.0,0.0,0,0.0,0.0,0.0,38.0,0,0.0,0.0,0.0,0.0,0,0.0,21.0,0.0,4497.166666666667,0,0,0.0,0,0,4.769230769230769,0,0.0,0,0.0,0,195.51505016722408,0.9333333333333333,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.8484848484848485,8.0,0,1.5769230769230769,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,88.84397163120566,132.0096153846154,0.0,0,0,0.0,0.0,0.0,87.5,0.0,25.0,0,48.83333333333333,263.3666666666667,0,0.0,2.429223744292237,0.0,0.0,0.3846153846153846,0.0,0.0,0,0.23076923076923078,0,0.0,0,17.0,716.3333333333334,0,0.0,0.0,0.0,15.0,0,0.0,0.0,29.0,187.14285714285714,0.0,0,0.0,0,0.0,0.0,0.0,0,0
1990-03-31,151.12912087912088,0,0.0,402.07142857142856,0,0.0,0,0,0.0,0,6.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,57.5,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,9485.371900826445,0,0,0.0,0,0,10.851648351648352,0,0.0,0,0.0,0,191.1401098901099,2.033333333333333,0.0,0.0,2.0,0,0.0,0,0,0.0,0,0.0,0.0,42.939393939393945,6.0,0,46.18516483516484,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,116.17249240121579,67.74725274725276,0.0,0,0,27.333333333333332,0.0,0.0,0.0,0.0,0.0,0,56.0,196.95,0,0.0,3.939497716894977,0.0,0.0,0.4258241758241758,0.0,0.0,0,90.25549450549451,0,0.0,2,0.0,1843.5925925925926,0,0.0,0.0,0.0,0.0,0,0.0,0.0,52.0,128.57142857142856,0.0,0,4.066666666666666,0,0.0,0.0,0.0,0,0
1990-04-30,192.42407592407594,0,0.0,298.73809523809524,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,221.80769230769232,22.0,86.5,0,0.0,0.0,0.0,0.0,0,0.0,10.8,0.0,13468.542699724518,0,0,0.0,0,0,6.893141341417204,0,0.0,0,0.0,0,173.33045525902668,9.00983606557377,0.0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,0.30303030303030304,6.0,0,102.08241758241759,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,80.90425531914893,218.12637362637363,0.0,0,0,22.0,0.0,0.0,0.0,0.0,0.0,0,287.5,330.3333333333333,0,0.0,2.602739726027397,0.0,0.0,2.412087912087912,0.0,0.0,0,31.647252747252747,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,73.5,53.0,0.0,0,5.0,0,0.0,0.0,0.0,0,0
1990-05-31,151.03821178821178,0,0.0,127.0,0,0.0,0,0,0.0,0,3.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,32.0,0.0,57.0,0,0.0,0.0,60.0,0.0,0,0.0,46.0,0.0,8458.371900826445,0,0,0.0,0,0,23.85164835164835,0,0.0,0,0.0,0,220.32378335949764,8.508196721311474,1.0,0.0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,5.960164835164835,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,868.1010638297872,9.747252747252748,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,125.0,0,0.0,2.689497716894977,0.0,0.0,0.4258241758241758,0.0,0.0,0,0.2554945054945055,0,0.0,0,0.0,56.0,0,0.0,0.0,0.0,3.0,0,0.0,0.0,107.03333333333333,29.0,0.0,0,2.0,0,0.0,0.0,0.0,0,0
1990-06-30,138.42407592407594,0,0.0,149.875,0,0.0,0,0,0.0,0,3.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0,0.0,96.0,0.0,7268.94746162928,0,0,0.0,1,0,6.858658582796514,0,0.0,0,0.0,0,227.32417582417582,24.098360655737704,28.4,51.0,1.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,17.532417582417583,0.0,0.0,0,0,12.032258064516128,0,0,0.0,0.0,0.0,80.90425531914893,3.626373626373627,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,146.0,47.0,0,0.0,2.602739726027397,0.0,0.0,0.41208791208791207,0.0,0.0,0,0.24725274725274726,0,0.0,3,1238.8,696.5714285714286,0,0.0,0.0,0.0,0.0,0,0.0,0.0,89.0,158.0,0.0,0,3.0,0,0.0,0.0,0.0,0,0
1990-07-31,145.53821178821178,0,0.0,42.14285714285714,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,34.5,0,0.0,0.0,0.0,0.0,0,0.0,8.5,0.0,2000.0,0,0,0.0,0,0,5.884981684981685,0,0.0,0,0.0,0,261.7298534798535,17.184313725490195,8.75,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,16.0,0,43.001831501831504,0.0,0.0,0,0,152.8095238095238,0,0,0.0,0.0,0.0,170.10010911074738,3.7472527472527477,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,262.0,24.0,0,0.0,2.689497716894977,0.0,0.0,0.4258241758241758,0.0,0.0,0,15.255494505494507,0,0.0,0,1142.6666666666667,225.0,0,0.0,0.0,0.0,0.0,0,33.833333333333336,0.0,65.0,33.333333333333336,0.0,0,5.0,0,0.0,0.0,0.0,0,0
1990-08-31,2.129120879120879,0,0.0,65.4,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,7.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,80.5,0.0,806.0,0,0,0.0,0,0,5.851648351648351,0,0.0,0,0.0,0,176.6401098901099,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,0,1176.423645320197,0.0,0.0,0.0,0,26.085164835164836,0.0,0.0,0,0,89.28571428571428,0,0,0.0,0.0,0.0,4.0,3.7472527472527477,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.333333333333336,165.51612903225805,0,0.0,23.279264034380876,0.0,0.0,47.22582417582417,0.0,0.0,0,80.2554945054945,0,0.0,0,494.16666666666663,119.0,0,0.0,0.0,0.0,1.0,0,10.333333333333334,0.0,53.0,52.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0
