,H1,H2,H3,H4,H5,rad,win,mot,n_mot
0,4.655946919871422,-2602.9634272785765,-3238.340808955159,13.01978086783753,-7596.337784613949,1.0,12.0,0.0,1
1,33.589393782834904,-39.253240204830036,-25.98513263672288,23.819668920930894,-87.35321659841202,1.0,12.0,2.0,2
2,11990.210903955538,21347.394604408964,32200.822867831226,35164.32645240601,32066.827900157303,1.0,12.0,3.0,1
3,148.28905392772538,12.743517219250549,-5.414669165835278,68.0016676371385,38.203942221986956,1.0,12.0,4.0,2
4,-29.792379245275647,46.78936006472727,-114.09212723495716,80.57638687066364,61.477110811530444,1.0,12.0,5.0,2
5,170.7128554147073,341.7856617455581,453.38200342529956,597.7751815806344,403.60023792709865,1.0,12.0,6.0,3
6,23.799833337757264,16.96514707510005,158.37547127040762,-16.663512617309607,-1.2487112032631558,1.0,12.0,8.0,2
7,104.79501771861217,-16.382712124933676,64.78504839915865,67.36044342312084,-7.061277814926676,1.0,12.0,10.0,6
8,-70.45787892777153,-65.60180714912718,-183.79545475013654,-87.01022725168175,-85.31198719736624,1.0,12.0,12.0,1
9,39.02849559310594,-27.223612745499814,72.7749673985965,41.9513963962811,-16.395920610861914,1.0,12.0,14.0,7
10,36.615764573864915,64.51663619687461,57.61279017634931,-57.877651719372196,36.077644442544646,1.0,12.0,15.0,1
11,-1163.5873727418484,-1709.5384208131484,529.9176240890317,-3938.1137809371544,-2846.5588651254707,1.0,12.0,16.0,1
12,98.22944086151516,-75.6527181382167,20.069127110596952,104.08551868654159,176.8807258233172,1.0,12.0,17.0,1
13,-61.91845647315346,438.21633969249797,33.773806334965364,142.71929554577372,-24.348867504548004,1.0,12.0,18.0,1
14,12.920160888000638,40.199999621162476,-274.9505511504187,-421.25585255829134,-196.56707007862897,1.0,12.0,19.0,1
15,-180.6233302730957,82.80072310401383,78.51030400796978,107.28086115676254,101.18034659674777,1.0,14.0,0.0,1
16,-534.062604265669,374.6614712394032,-267.7777644491664,-257.5555934687517,-143.19000287691847,1.0,14.0,1.0,1
17,-226.04168117200288,283.03671458424236,414.3239652206553,262.6170631300697,0.9593553629521949,1.0,14.0,2.0,2
18,252.77583019020926,738.8383841414178,422.706968163748,699.5138212614825,1215.9181586178042,1.0,14.0,3.0,2
19,39.48746735733383,176.91650550409798,41.164243639718876,44.952641158637064,10.420340781133326,1.0,14.0,5.0,3
20,-12.723015192109749,-2.9647800623175087,-14.597714722741316,-12.128414279326371,-64.06097410019933,1.0,14.0,6.0,1
21,44.78906591073337,612.2806751612446,290.9459044934007,369.47060542932945,621.7631222775744,1.0,14.0,7.0,3
22,29.423971924231104,-54.08965999975527,32.17068299419661,58.68958815535734,15.054305101166655,1.0,14.0,10.0,1
